customer_id,transaction_id,product_name,category,quantity,price,date
C001,T00001,Phone,Electronics,1,511.61,2023-02-27
C001,T00001,Phone Case,Accessories,3,13.07,2023-02-27
C001,T00002,Desk,Furniture,1,157.45,2023-10-07
C001,T00002,Chair,Furniture,1,158.17,2023-10-07
C001,T00002,Lamp,Furniture,3,31.86,2023-10-07
C001,T00003,Lamp,Furniture,3,59.37,2023-04-12
C001,T00004,Laptop,Electronics,1,1079.26,2023-08-18
C001,T00004,Mouse,Accessories,2,31.11,2023-08-18
C001,T00004,Keyboard,Accessories,1,116.58,2023-08-18
C001,T00005,Desk,Furniture,1,239.74,2023-06-22
C001,T00005,Chair,Furniture,2,250.93,2023-06-22
C001,T00005,Lamp,Furniture,1,81.08,2023-06-22
C001,T00006,Desk,Furniture,1,288.01,2023-10-02
C001,T00006,Chair,Furniture,3,254.63,2023-10-02
C001,T00006,Lamp,Furniture,2,70.41,2023-10-02
C001,T00007,Phone,Electronics,2,892.61,2023-12-27
C001,T00007,Phone Case,Accessories,1,35.99,2023-12-27
C001,T00007,Headphones,Accessories,2,91.7,2023-12-27
C002,T00008,Monitor,Electronics,1,401.05,2023-07-06
C002,T00008,Mouse,Accessories,3,57.47,2023-07-06
C002,T00008,Keyboard,Accessories,3,45.71,2023-07-06
C002,T00009,Phone,Electronics,1,631.13,2023-11-22
C002,T00009,Phone Case,Accessories,2,39.69,2023-11-22
C002,T00009,Headphones,Accessories,3,153.22,2023-11-22
C002,T00010,Screen Clean,Accessories,1,8.44,2023-04-23
C002,T00011,Chair,Furniture,2,116.55,2023-01-17
C002,T00012,Desk,Furniture,1,313.86,2023-10-18
C002,T00013,USB Hub,Accessories,2,32.86,2023-07-22
C002,T00014,Mouse,Accessories,3,30.51,2023-03-13
C002,T00014,Keyboard,Accessories,3,74.27,2023-03-13
C003,T00015,Laptop,Electronics,3,997.41,2023-07-24
C003,T00015,Keyboard,Accessories,1,108.89,2023-07-24
C003,T00015,USB Hub,Accessories,1,59.51,2023-07-24
C003,T00016,Laptop,Electronics,2,952.65,2023-12-15
C003,T00016,Mouse,Accessories,2,41.16,2023-12-15
C003,T00016,Laptop Bag,Accessories,3,90.25,2023-12-15
C003,T00017,Phone,Electronics,3,842.39,2023-01-06
C003,T00018,Desk,Furniture,1,223.38,2023-05-17
C003,T00019,Phone,Electronics,3,780.98,2023-03-22
C003,T00019,Phone Case,Accessories,3,37.38,2023-03-22
C003,T00020,Mouse,Accessories,3,27.96,2023-11-17
C003,T00020,Keyboard,Accessories,2,101.0,2023-11-17
C004,T00021,Notebook,Stationery,2,12.33,2023-09-29
C004,T00022,Laptop Bag,Accessories,2,46.76,2023-02-27
C004,T00023,Phone,Electronics,1,765.95,2023-05-04
C004,T00024,Webcam,Electronics,1,71.56,2023-02-05
C004,T00025,Mouse,Accessories,2,41.11,2023-09-01
C004,T00026,Phone,Electronics,3,777.63,2023-11-07
C004,T00026,Phone Case,Accessories,3,16.03,2023-11-07
C004,T00026,Headphones,Accessories,2,109.85,2023-11-07
C005,T00027,Mouse,Accessories,2,24.84,2023-11-29
C005,T00027,Keyboard,Accessories,1,45.12,2023-11-29
C005,T00028,Phone,Electronics,3,510.11,2023-01-11
C005,T00028,Phone Case,Accessories,1,31.24,2023-01-11
C005,T00028,Headphones,Accessories,1,84.34,2023-01-11
C005,T00029,Phone,Electronics,3,519.0,2023-01-17
C005,T00030,Mouse,Accessories,1,48.93,2023-12-09
C005,T00030,Keyboard,Accessories,3,86.1,2023-12-09
C005,T00031,Phone Case,Accessories,2,15.71,2023-05-05
C005,T00032,Desk,Furniture,2,252.78,2023-02-19
C005,T00033,USB Hub,Accessories,1,28.33,2023-01-28
C006,T00034,Phone,Electronics,1,495.8,2023-06-23
C006,T00035,Desk,Furniture,1,219.64,2023-10-02
C006,T00035,Chair,Furniture,1,318.62,2023-10-02
C006,T00035,Lamp,Furniture,1,61.02,2023-10-02
C006,T00036,Mouse,Accessories,1,58.76,2023-10-09
C006,T00036,Keyboard,Accessories,1,53.3,2023-10-09
C006,T00037,Desk,Furniture,1,191.16,2023-09-06
C006,T00037,Chair,Furniture,1,346.33,2023-09-06
C006,T00037,Lamp,Furniture,2,94.86,2023-09-06
C006,T00038,Mouse,Accessories,3,48.74,2023-08-21
C006,T00038,Keyboard,Accessories,1,55.19,2023-08-21
C006,T00039,Notebook,Stationery,3,13.13,2023-04-22
C006,T00040,Laptop,Electronics,2,1001.14,2023-06-10
C006,T00040,Screen Clean,Accessories,3,7.36,2023-06-10
C007,T00041,Phone,Electronics,3,433.98,2023-02-11
C007,T00042,Laptop,Electronics,1,1031.57,2023-05-01
C007,T00042,Screen Clean,Accessories,1,14.29,2023-05-01
C007,T00043,Notebook,Stationery,3,9.75,2023-08-03
C007,T00044,Monitor,Electronics,1,279.68,2023-05-14
C007,T00044,Mouse,Accessories,1,46.87,2023-05-14
C007,T00044,Keyboard,Accessories,2,76.58,2023-05-14
C007,T00045,Laptop,Electronics,3,1198.44,2023-02-07
C007,T00045,Screen Clean,Accessories,1,13.06,2023-02-07
C007,T00046,Monitor,Electronics,1,463.78,2023-09-17
C007,T00046,Mouse,Accessories,2,31.4,2023-09-17
C007,T00046,Keyboard,Accessories,2,106.7,2023-09-17
C008,T00047,Phone Case,Accessories,3,25.87,2023-06-04
C008,T00048,Monitor,Electronics,3,231.08,2023-12-08
C008,T00049,Laptop,Electronics,3,1021.29,2023-03-10
C008,T00049,Mouse,Accessories,2,31.27,2023-03-10
C008,T00049,Laptop Bag,Accessories,1,80.23,2023-03-10
C008,T00050,Screen Clean,Accessories,2,12.58,2023-04-15
C008,T00051,Screen Clean,Accessories,1,6.38,2023-05-09
C008,T00052,Laptop,Electronics,1,933.42,2023-08-05
C008,T00053,Monitor,Electronics,1,422.37,2023-03-08
C009,T00054,Laptop,Electronics,1,830.1,2023-12-28
C009,T00054,Mouse,Accessories,3,56.16,2023-12-28
C009,T00054,Keyboard,Accessories,3,42.88,2023-12-28
C009,T00055,Laptop,Electronics,2,850.98,2023-07-09
C009,T00055,Keyboard,Accessories,2,69.17,2023-07-09
C009,T00055,USB Hub,Accessories,1,74.44,2023-07-09
C009,T00056,USB Hub,Accessories,1,44.45,2023-04-18
C009,T00057,Chair,Furniture,3,287.37,2023-10-14
C009,T00058,Phone Case,Accessories,1,36.44,2023-05-02
C009,T00059,Monitor,Electronics,2,440.67,2023-01-13
C009,T00059,Mouse,Accessories,3,52.43,2023-01-13
C009,T00059,Keyboard,Accessories,2,52.74,2023-01-13
C010,T00060,Laptop,Electronics,2,888.97,2023-02-25
C010,T00060,Mouse,Accessories,2,33.99,2023-02-25
C010,T00060,Keyboard,Accessories,1,57.83,2023-02-25
C010,T00061,Monitor,Electronics,2,459.31,2023-12-04
C010,T00061,Mouse,Accessories,2,34.05,2023-12-04
C010,T00061,Keyboard,Accessories,3,71.97,2023-12-04
C010,T00062,Laptop,Electronics,1,1150.82,2023-10-02
C010,T00062,Mouse,Accessories,2,27.14,2023-10-02
C010,T00062,Keyboard,Accessories,2,43.06,2023-10-02
C010,T00063,Monitor,Electronics,2,381.86,2023-11-02
C010,T00063,Mouse,Accessories,3,24.63,2023-11-02
C010,T00063,Keyboard,Accessories,3,55.21,2023-11-02
C010,T00064,Laptop,Electronics,3,1170.23,2023-01-23
C010,T00065,Lamp,Furniture,3,76.94,2023-10-03
C010,T00066,Monitor,Electronics,3,294.17,2023-07-06
C010,T00066,Mouse,Accessories,1,48.79,2023-07-06
C010,T00066,Keyboard,Accessories,2,80.57,2023-07-06
C011,T00067,Phone,Electronics,3,463.64,2023-07-29
C011,T00067,Phone Case,Accessories,2,29.95,2023-07-29
C011,T00068,Laptop Bag,Accessories,1,73.09,2023-07-14
C011,T00069,Laptop,Electronics,2,914.77,2023-06-04
C011,T00069,Mouse,Accessories,2,51.43,2023-06-04
C011,T00069,Keyboard,Accessories,3,92.38,2023-06-04
C011,T00070,Phone,Electronics,3,636.59,2023-08-27
C011,T00070,Phone Case,Accessories,3,15.09,2023-08-27
C011,T00070,Headphones,Accessories,1,92.57,2023-08-27
C011,T00071,Desk,Furniture,1,354.61,2023-12-06
C011,T00072,Keyboard,Accessories,1,51.79,2023-05-01
C011,T00073,Webcam,Electronics,3,136.48,2023-01-24
C011,T00073,USB Hub,Accessories,1,50.05,2023-01-24
C012,T00074,Desk,Furniture,2,249.91,2023-10-22
C012,T00074,Chair,Furniture,1,264.01,2023-10-22
C012,T00074,Lamp,Furniture,1,92.49,2023-10-22
C012,T00075,Keyboard,Accessories,1,104.33,2023-02-24
C012,T00076,Laptop,Electronics,3,899.68,2023-12-23
C012,T00076,Mouse,Accessories,1,38.26,2023-12-23
C012,T00076,Keyboard,Accessories,2,93.41,2023-12-23
C012,T00077,Webcam,Electronics,3,133.35,2023-10-14
C012,T00077,USB Hub,Accessories,3,48.47,2023-10-14
C012,T00078,Laptop,Electronics,3,1144.6,2023-10-08
C012,T00078,Keyboard,Accessories,2,60.74,2023-10-08
C012,T00078,USB Hub,Accessories,1,71.19,2023-10-08
C012,T00079,Webcam,Electronics,2,116.41,2023-05-22
C012,T00080,Phone,Electronics,1,535.86,2023-05-21
C012,T00080,Phone Case,Accessories,2,36.79,2023-05-21
C013,T00081,Desk,Furniture,3,188.2,2023-03-12
C013,T00081,Chair,Furniture,1,116.06,2023-03-12
C013,T00081,Lamp,Furniture,2,53.16,2023-03-12
C013,T00082,Phone,Electronics,2,594.74,2023-08-27
C013,T00082,Phone Case,Accessories,3,38.38,2023-08-27
C013,T00082,Headphones,Accessories,1,178.51,2023-08-27
C014,T00083,Laptop,Electronics,2,919.45,2023-10-22
C014,T00083,Mouse,Accessories,2,54.14,2023-10-22
C014,T00083,Keyboard,Accessories,2,83.06,2023-10-22
C014,T00084,Laptop Bag,Accessories,1,64.18,2023-10-07
C014,T00085,Laptop,Electronics,2,934.45,2023-05-20
C014,T00085,Mouse,Accessories,3,51.93,2023-05-20
C014,T00085,Keyboard,Accessories,3,53.2,2023-05-20
C014,T00086,Notebook,Stationery,3,5.4,2023-08-28
C014,T00087,Laptop,Electronics,1,1057.1,2023-07-21
C014,T00087,Mouse,Accessories,1,54.67,2023-07-21
C014,T00087,Keyboard,Accessories,1,44.02,2023-07-21
C014,T00088,Webcam,Electronics,2,90.38,2023-07-14
C014,T00088,USB Hub,Accessories,2,40.3,2023-07-14
C014,T00089,Laptop,Electronics,2,807.75,2023-08-04
C014,T00089,Mouse,Accessories,3,22.08,2023-08-04
C014,T00089,Laptop Bag,Accessories,2,45.7,2023-08-04
C014,T00090,USB Hub,Accessories,1,66.48,2023-02-05
C015,T00091,Notebook,Stationery,1,8.58,2023-04-13
C015,T00092,Notebook,Stationery,1,11.98,2023-08-31
C015,T00093,Mouse,Accessories,3,44.29,2023-05-12
C016,T00094,Mouse,Accessories,2,24.32,2023-02-28
C016,T00095,Notebook,Stationery,3,18.62,2023-01-14
C016,T00096,Phone,Electronics,1,696.05,2023-07-12
C016,T00096,Phone Case,Accessories,3,17.29,2023-07-12
C016,T00096,Headphones,Accessories,3,165.87,2023-07-12
C016,T00097,Phone,Electronics,3,791.32,2023-12-17
C016,T00098,Monitor,Electronics,1,351.79,2023-06-27
C016,T00098,Mouse,Accessories,2,20.51,2023-06-27
C016,T00098,Keyboard,Accessories,2,105.79,2023-06-27
C016,T00099,Monitor,Electronics,3,467.47,2023-02-24
C016,T00099,Mouse,Accessories,2,48.29,2023-02-24
C016,T00099,Keyboard,Accessories,2,54.09,2023-02-24
C016,T00100,Monitor,Electronics,3,442.46,2023-09-25
C017,T00101,Laptop,Electronics,2,928.92,2023-09-05
C017,T00101,Screen Clean,Accessories,1,17.46,2023-09-05
C017,T00102,Webcam,Electronics,1,127.54,2023-02-14
C017,T00102,USB Hub,Accessories,3,58.57,2023-02-14
C017,T00103,Webcam,Electronics,2,76.37,2023-07-14
C017,T00103,USB Hub,Accessories,1,44.52,2023-07-14
C017,T00104,Laptop,Electronics,3,1152.04,2023-05-13
C017,T00104,Screen Clean,Accessories,3,5.15,2023-05-13
C017,T00105,Desk,Furniture,2,288.79,2023-04-08
C017,T00105,Chair,Furniture,1,272.65,2023-04-08
C017,T00105,Lamp,Furniture,3,79.83,2023-04-08
C017,T00106,Phone,Electronics,2,510.8,2023-08-18
C018,T00107,Laptop,Electronics,2,989.3,2023-05-05
C018,T00107,Screen Clean,Accessories,3,10.16,2023-05-05
C018,T00108,Webcam,Electronics,2,87.6,2023-10-09
C018,T00108,USB Hub,Accessories,1,31.64,2023-10-09
C018,T00109,Mouse,Accessories,3,27.41,2023-04-09
C018,T00109,Keyboard,Accessories,1,99.09,2023-04-09
C018,T00110,Phone Case,Accessories,3,27.9,2023-05-22
C018,T00111,Monitor,Electronics,1,308.26,2023-02-21
C018,T00112,Mouse,Accessories,1,30.97,2023-06-04
C018,T00112,Keyboard,Accessories,1,84.27,2023-06-04
C018,T00113,USB Hub,Accessories,2,30.64,2023-12-24
C019,T00114,Webcam,Electronics,2,90.66,2023-10-21
C019,T00114,USB Hub,Accessories,1,38.89,2023-10-21
C019,T00115,Laptop,Electronics,2,996.7,2023-09-02
C019,T00115,Mouse,Accessories,3,45.18,2023-09-02
C019,T00115,Laptop Bag,Accessories,1,40.62,2023-09-02
C020,T00116,Phone,Electronics,1,459.23,2023-10-16
C020,T00117,Phone Case,Accessories,3,16.77,2023-08-02
C020,T00118,Webcam,Electronics,2,137.41,2023-09-25
C020,T00118,USB Hub,Accessories,2,41.8,2023-09-25
C020,T00119,Laptop,Electronics,1,1050.21,2023-11-14
C020,T00119,Mouse,Accessories,2,46.42,2023-11-14
C020,T00119,Laptop Bag,Accessories,1,46.79,2023-11-14
C020,T00120,Laptop,Electronics,2,980.2,2023-10-10
C020,T00120,Mouse,Accessories,3,38.8,2023-10-10
C020,T00120,Keyboard,Accessories,1,58.52,2023-10-10
C020,T00121,Webcam,Electronics,1,121.86,2023-12-28
C020,T00121,USB Hub,Accessories,2,68.33,2023-12-28
C020,T00122,Phone,Electronics,2,457.39,2023-11-17
C020,T00122,Phone Case,Accessories,1,29.43,2023-11-17
C020,T00122,Headphones,Accessories,2,173.99,2023-11-17
C020,T00123,Phone,Electronics,3,774.48,2023-02-06
C020,T00123,Phone Case,Accessories,3,37.64,2023-02-06
C021,T00124,Phone,Electronics,3,601.25,2023-03-05
C021,T00124,Phone Case,Accessories,2,25.01,2023-03-05
C021,T00125,Laptop,Electronics,1,1155.77,2023-09-10
C021,T00125,Screen Clean,Accessories,3,9.83,2023-09-10
C021,T00126,Phone,Electronics,3,817.98,2023-05-09
C021,T00126,Phone Case,Accessories,3,27.61,2023-05-09
C021,T00126,Headphones,Accessories,1,199.94,2023-05-09
C021,T00127,Notebook,Stationery,1,16.45,2023-12-11
C021,T00128,Webcam,Electronics,2,76.33,2023-03-31
C021,T00128,USB Hub,Accessories,3,48.97,2023-03-31
C022,T00129,Headphones,Accessories,2,111.25,2023-09-09
C022,T00130,Screen Clean,Accessories,1,9.95,2023-06-14
C022,T00131,Desk,Furniture,3,159.17,2023-12-22
C022,T00131,Chair,Furniture,1,178.63,2023-12-22
C022,T00131,Lamp,Furniture,2,38.11,2023-12-22
C022,T00132,Screen Clean,Accessories,1,14.86,2023-07-26
C022,T00133,Laptop,Electronics,1,1007.38,2023-10-05
C022,T00133,Mouse,Accessories,3,50.26,2023-10-05
C022,T00133,Keyboard,Accessories,3,75.36,2023-10-05
C022,T00134,Mouse,Accessories,1,57.11,2023-01-27
C022,T00134,Keyboard,Accessories,2,110.47,2023-01-27
C022,T00135,Laptop,Electronics,1,1083.91,2023-09-06
C022,T00135,Screen Clean,Accessories,2,13.26,2023-09-06
C022,T00136,Phone,Electronics,1,630.72,2023-10-10
C022,T00136,Phone Case,Accessories,1,29.43,2023-10-10
C022,T00136,Headphones,Accessories,1,124.76,2023-10-10
C023,T00137,Phone,Electronics,2,817.36,2023-05-30
C023,T00137,Phone Case,Accessories,2,17.31,2023-05-30
C023,T00138,Phone,Electronics,3,654.12,2023-10-10
